Year_Month,Campaigns,Average_ROI,Average_Conversion_Rate,Average_Engagement,Total_Clicks,Total_Impressions,Estimated_Conversions,Total_Cost,CTR
2021-01,16988,5.014595008241112,0.08008358841535201,5.455321403343537,9349618,92956072,749491.18,212138826.0,0.10058103573911772
2021-02,15344,5.00524830552659,0.08018117831074036,5.5036496350364965,8433037,84493850,675456.0700000001,191464820.0,0.09980651846258633
2021-03,16988,4.983403578996939,0.08003178714386626,5.520426183188133,9367374,93804488,748426.78,211892603.0,0.09986061647711354
2021-04,16440,4.994371654501217,0.08045985401459854,5.467214111922141,8992709,90677348,722223.93,205452322.0,0.09917260703301557
2021-05,16988,5.018923357664233,0.07978102189781021,5.52996232634801,9335696,93384968,746905.89,211663415.0,0.09997000802099112
2021-06,16440,4.985203163017032,0.08007846715328468,5.503345498783455,9046697,91119478,725166.85,205516710.0,0.09928389844375535
2021-07,16988,4.983044502001413,0.07995231928420062,5.498469507887921,9347146,93060793,748751.25,212239503.0,0.10044128895398517
2021-08,16988,4.997793148104544,0.0797251000706381,5.472686602307511,9308212,93801223,740757.97,213545454.0,0.0992333756671808
2021-09,16440,5.029044403892945,0.0802433090024331,5.535097323600973,9069330,90658302,728942.53,206273900.0,0.10003860429682436
2021-10,16988,5.01644513774429,0.07981869554979987,5.457440546267954,9384834,93264009,750725.0,212709908.0,0.10062653429363089
2021-11,16440,4.999271289537713,0.08030109489051096,5.45705596107056,9029761,90734678,724350.65,205504738.0,0.09951830104031449
2021-12,16968,5.0021222300801504,0.08021628948609147,5.536244695898161,9289992,93505095,743381.59,212476409.0,0.09935278927848798
