,Duration_Days,Conversion_Rate,Acquisition_Cost_Clean,ROI,Clicks,Impressions,Engagement_Score,CTR,Estimated_Conversions,Calculated_CPC,Calculated_CPA
Duration_Days,1.0,-0.0010576679495577445,0.0009414316790420908,0.0011535911644855526,-0.0014553736263640128,-0.006323193323295864,-0.003009317922922841,0.003221868335431976,-9.193137482187846e-05,0.0025089703229002717,0.0056202982871466165
Conversion_Rate,-0.0010576679495577445,1.0,0.0007178726975838388,-0.0011430157708100601,0.0002694314482170566,-0.002833546328332028,-0.0006383944320056618,-4.898692100642732e-05,0.6908406871458014,0.002525047757925663,-0.4788657771185325
Acquisition_Cost_Clean,0.0009414316790420908,0.0007178726975838388,1.0,0.004584823490700724,0.00014078082979310236,0.00032864399463279154,-0.00321761599030478,-0.0008993963829549216,-0.0002602650813087741,0.4099930813908506,0.22690100787090875
ROI,0.0011535911644855526,-0.0011430157708100601,0.004584823490700724,1.0,-0.0020401686261513835,0.0022568521887170643,0.0005883311877310434,-0.0021160988316924773,-0.001528344060170273,0.004575316447112412,0.0033892292878040776
Clicks,-0.0014553736263640128,0.0002694314482170566,0.00014078082979310236,-0.0020401686261513835,1.0,3.3069013937419996e-05,-0.0019081118155252399,0.5065256388250473,0.6449813807933099,-0.7274365727447755,-0.40073435305191785
Impressions,-0.006323193323295864,-0.002833546328332028,0.00032864399463279154,0.0022568521887170643,3.3069013937419996e-05,1.0,0.003029713881175453,-0.6575378988175061,-0.0009507780950923843,-2.7406428635226517e-05,0.004339924157331609
Engagement_Score,-0.003009317922922841,-0.0006383944320056618,-0.00321761599030478,0.0005883311877310434,-0.0019081118155252399,0.003029713881175453,1.0,-0.00574711070144806,-0.001165288231116792,0.0009756825707591168,0.0004476994818352355
CTR,0.003221868335431976,-4.898692100642732e-05,-0.0008993963829549216,-0.0021160988316924773,0.5065256388250473,-0.6575378988175061,-0.00574711070144806,1.0,0.326682409150851,-0.36895180169027775,-0.20390612861844382
Estimated_Conversions,-9.193137482187846e-05,0.6908406871458014,-0.0002602650813087741,-0.001528344060170273,0.6449813807933099,-0.0009507780950923843,-0.001165288231116792,0.326682409150851,1.0,-0.468596639498451,-0.49326009217459527
Calculated_CPC,0.0025089703229002717,0.002525047757925663,0.4099930813908506,0.004575316447112412,-0.7274365727447755,-2.7406428635226517e-05,0.0009756825707591168,-0.36895180169027775,-0.468596639498451,1.0,0.5504777689926523
Calculated_CPA,0.0056202982871466165,-0.4788657771185325,0.22690100787090875,0.0033892292878040776,-0.40073435305191785,0.004339924157331609,0.0004476994818352355,-0.20390612861844382,-0.49326009217459527,0.5504777689926523,1.0
