,count,mean,std,min,25%,50%,75%,max
Campaign_ID,200000.0,100000.5,57735.17125634945,1.0,50000.75,100000.5,150000.25,200000.0
Conversion_Rate,200000.0,0.08006965,0.04060164887473507,0.01,0.05,0.08,0.12,0.15
ROI,200000.0,5.002437850000001,1.7344883434710312,2.0,3.5,5.01,6.51,8.0
Clicks,200000.0,549.77203,260.0190557809641,100.0,325.0,550.0,775.0,1000.0
Impressions,200000.0,5507.30152,2596.864286253002,1000.0,3266.0,5517.5,7753.0,10000.0
Engagement_Score,200000.0,5.49471,2.872581291199125,1.0,3.0,5.0,8.0,10.0
Average Conversion Rate,0.0,,,,,,,
Engagement Rate,0.0,,,,,,,
Total Acquisition Cost,0.0,,,,,,,
Cost Per Click (CPC),0.0,,,,,,,
Cost Per Acquisition,0.0,,,,,,,
Total Conversions,0.0,,,,,,,
