,Duration_Days,Conversion_Rate,Acquisition_Cost_Clean,ROI,Clicks,Impressions,Engagement_Score,CTR,Estimated_Conversions,Calculated_CPC,Calculated_CPA
Duration_Days,1.0,-0.0010576679495577445,0.0009414316790420908,0.0011535911644855526,-0.0014553736263640128,-0.006323193323295864,-0.003009317922922841,0.0032218683354319753,-9.19313748218776e-05,0.0025089703229002683,0.005620298287146619
Conversion_Rate,-0.0010576679495577445,1.0,0.0007178726975838388,-0.0011430157708100601,0.0002694314482170566,-0.002833546328332028,-0.0006383944320056618,-4.8986921006423384e-05,0.6908406871458014,0.0025250477579256627,-0.4788657771185325
Acquisition_Cost_Clean,0.0009414316790420908,0.0007178726975838388,1.0,0.004584823490700724,0.00014078082979310236,0.00032864399463279154,-0.00321761599030478,-0.0008993963829549233,-0.00026026508130877214,0.4099930813908506,0.22690100787090878
ROI,0.0011535911644855526,-0.0011430157708100601,0.004584823490700724,1.0,-0.0020401686261513835,0.0022568521887170643,0.0005883311877310434,-0.002116098831692475,-0.0015283440601702753,0.004575316447112411,0.0033892292878040767
Clicks,-0.0014553736263640128,0.0002694314482170566,0.00014078082979310236,-0.0020401686261513835,1.0,3.3069013937419996e-05,-0.0019081118155252399,0.5065256388250473,0.6449813807933097,-0.7274365727447757,-0.4007343530519178
Impressions,-0.006323193323295864,-0.002833546328332028,0.00032864399463279154,0.0022568521887170643,3.3069013937419996e-05,1.0,0.003029713881175453,-0.657537898817506,-0.0009507780950923848,-2.7406428635226168e-05,0.004339924157331612
Engagement_Score,-0.003009317922922841,-0.0006383944320056618,-0.00321761599030478,0.0005883311877310434,-0.0019081118155252399,0.003029713881175453,1.0,-0.00574711070144806,-0.0011652882311167926,0.0009756825707591169,0.0004476994818352349
CTR,0.0032218683354319753,-4.8986921006423384e-05,-0.0008993963829549233,-0.002116098831692475,0.5065256388250473,-0.657537898817506,-0.00574711070144806,1.0,0.326682409150851,-0.3689518016902776,-0.20390612861844373
Estimated_Conversions,-9.19313748218776e-05,0.6908406871458014,-0.00026026508130877214,-0.0015283440601702753,0.6449813807933097,-0.0009507780950923848,-0.0011652882311167926,0.326682409150851,1.0,-0.46859663949845104,-0.49326009217459527
Calculated_CPC,0.0025089703229002683,0.0025250477579256627,0.4099930813908506,0.004575316447112411,-0.7274365727447757,-2.7406428635226168e-05,0.0009756825707591169,-0.3689518016902776,-0.46859663949845104,1.0,0.5504777689926524
Calculated_CPA,0.005620298287146619,-0.4788657771185325,0.22690100787090878,0.0033892292878040767,-0.4007343530519178,0.004339924157331612,0.0004476994818352349,-0.20390612861844373,-0.49326009217459527,0.5504777689926524,1.0
