Column,Missing_Values,Missing_Percentage
Campaign_ID,0,0.0
Company,0,0.0
Campaign_Type,0,0.0
Target_Audience,0,0.0
Duration,0,0.0
Channel_Used,0,0.0
Conversion_Rate,0,0.0
Acquisition_Cost,0,0.0
ROI,0,0.0
Location,0,0.0
Language,0,0.0
Clicks,0,0.0
Impressions,0,0.0
Engagement_Score,0,0.0
Customer_Segment,0,0.0
Date,0,0.0
Average Conversion Rate,200000,100.0
Engagement Rate,200000,100.0
Total Acquisition Cost,200000,100.0
Cost Per Click (CPC),200000,100.0
Cost Per Acquisition,200000,100.0
Total Conversions,200000,100.0
