Year_Month,Campaigns,Average_ROI,Average_Conversion,Total_Clicks,Total_Conversions,Total_Cost
2021-01,16988,5.014595008241112,0.08008358841535201,9349618,749513.0,212138826.0
2021-02,15344,5.00524830552659,0.08018117831074036,8433037,675518.0,191464820.0
2021-03,16988,4.983403578996939,0.08003178714386626,9367374,748406.0,211892603.0
2021-04,16440,4.994371654501217,0.08045985401459854,8992709,722244.0,205452322.0
2021-05,16988,5.018923357664233,0.07978102189781021,9335696,746884.0,211663415.0
2021-06,16440,4.985203163017032,0.08007846715328468,9046697,725194.0,205516710.0
2021-07,16988,4.983044502001413,0.07995231928420062,9347146,748763.0,212239503.0
2021-08,16988,4.997793148104544,0.0797251000706381,9308212,740767.0,213545454.0
2021-09,16440,5.029044403892945,0.0802433090024331,9069330,728936.0,206273900.0
2021-10,16988,5.01644513774429,0.07981869554979987,9384834,750733.0,212709908.0
2021-11,16440,4.999271289537713,0.08030109489051096,9029761,724398.0,205504738.0
2021-12,16968,5.0021222300801504,0.08021628948609147,9289992,743371.0,212476409.0
